date,forecast,std_error,lower_95,upper_95,lower_80,upper_80,coefficient_of_variation,uncertainty_ratio_95,prob_exceed_historical_max
2025-12-21,858982.723901442,1490389.1278818909,-2062126.2896971249,3780091.737500009,-1051027.7962062468,2768993.2440091306,173.5062983703145,6.801321917933542,0.6422985634038046
2025-12-22,906123.5842475112,1527732.796300289,-2088177.6745017217,3900424.8429967444,-1051744.7725849543,2863991.9410799765,168.60093069633456,6.609035038494987,0.6288784225585671
2025-12-23,862212.7692267022,1560534.4010682385,-2196378.453502829,3920803.991956234,-1137692.5355485042,2862118.0740019083,180.9917988651275,7.094748145455346,0.6355533802575253
2025-12-24,903114.8584468982,1595987.1106563907,-2224962.3982297694,4031192.1151235662,-1142224.9218038027,2948454.638697599,176.72028045259233,6.927307700497974,0.624224699717666
2025-12-25,865015.3400985356,1627631.8375908718,-2325084.4416703195,4055115.121867391,-1220878.789496281,2950909.4696933525,188.16219344797574,7.375822448201819,0.6296593249169274
2025-12-26,900504.3169711517,1661445.251948236,-2355868.539132467,4156877.1730747703,-1228723.4467297532,3029732.0806720564,184.50164209501082,7.2323314718944065,0.6200465298446337
2025-12-27,867447.009843299,1692048.8230553062,-2448907.743428488,4183801.763115086,-1301000.8083211272,3035894.8280077255,195.0607707277668,7.6462417084609555,0.6244587895082105
2025-12-28,898239.2628425224,1724426.0343730086,-2481573.6585318036,4278052.184216849,-1311701.6211740738,3108180.1468591187,191.97847452314406,7.5254179174460525,0.616263012293585
2025-12-29,869556.8646937241,1754084.3849352924,-2568385.3556235414,4307499.08501099,-1378392.7249174374,3117506.4543048856,201.72164192540959,7.907343061521756,0.619831167359891
2025-12-30,896273.9731686037,1785191.7285250057,-2602637.520239213,4395185.466576421,-1391541.2813198888,3184089.227657096,199.17924451312638,7.807682914272497,0.6128121857970983
2025-12-31,871387.4946546587,1813985.7449789785,-2683959.2339731986,4426734.223282516,-1453328.7766987393,3196103.7660080567,208.1721112715627,8.160196813558551,0.6156824849700371
2026-01-01,894568.7761697362,1843961.1936296788,-2719528.7522339234,4508666.304573395,-1468562.5783298688,3257700.1306693414,206.12849931169563,8.080088696764255,0.6096455951886564
2026-01-02,872975.85323449,1871960.0590952563,-2795998.4430896835,4541950.149558663,-1526037.4911359982,3271989.197604978,214.4343457106401,8.40567189282531,0.6119383752166119
2026-01-03,893089.2503555344,1900919.3339406902,-2832644.1816840866,4618822.682395156,-1543036.8980301563,3329215.398741225,212.8476334458111,8.343473914967458,0.6067246487765485
2026-01-04,874354.0033969816,1928182.949365349,-2904815.132963321,4653523.139757284,-1596711.8740185865,3345419.88081255,220.52657640659294,8.64448294781685,0.6085391872068793
2026-01-05,891805.5296849355,1956224.061882425,-2942323.1772952713,4725934.236665143,-1615196.4793765035,3398807.5387463747,219.35545326496646,8.598575764235864,0.6040181112837383
