district,enrol_mean,enrol_std,enrol_max,child_mean,adult_mean,cis_mean,momentum,state,enrol_volatility,child_adult_ratio,zero_cis_flag,anomaly_label,anomaly_score,fraud_risk_score,is_anomaly
Mohalla-Manpur-Ambagarh Chowki,2.8,4.658325879540846,11.0,2.8,0.0,0.21280000000000002,0.4,Chhattisgarh,1.2258752314581174,2.8,0,1,-0.4238561979949556,18.157686548629542,0
Mohla-Manpur-Ambagarh Chouki,28.77777777777778,36.79938103344191,86.0,28.333333333333332,0.4444444444444444,0.061000000000000006,0.27255555555555555,Chhattisgarh,1.2358001093320043,19.615384615384613,0,1,-0.4150520965228342,15.64721802063724,0
Mokokchung,54.44444444444444,76.24649354414784,220.0,49.666666666666664,4.777777777777778,0.358,0.1542222222222222,Nagaland,1.3751872583112836,8.596153846153847,0,1,-0.38523389737254976,7.144629679824035,0
Mon,247.0,322.18007387174026,1003.0,228.0,19.0,0.46799999999999997,0.26466666666666666,Nagaland,1.299113201095727,11.4,0,1,-0.38670352677215397,7.563690996552538,0
Monghyr,12.25,6.238322424070967,19.0,12.25,0.0,0.87575,-0.15625,Bihar,0.4708167867223371,12.25,0,1,-0.5136775820513172,43.770039896468795,0
Moradabad,2393.8888888888887,1234.8183514635305,4051.0,2369.6666666666665,24.22222222222222,0.5956666666666667,0.21955555555555556,Uttar Pradesh,0.515605695609714,93.95154185022027,0,-1,-0.553878672360928,55.233284877553274,1
Morbi,889.3333333333334,813.0029212739644,2829.0,816.7777777777778,72.55555555555556,0.6594444444444444,0.06899999999999999,Gujarat,0.9131444267397578,11.104229607250756,0,1,-0.4483265326874905,25.13534409943972,0
Morena,2486.777777777778,1756.7121119991302,6073.0,2412.3333333333335,74.44444444444444,0.5646666666666667,0.2288888888888889,Madhya Pradesh,0.7061370704775423,31.974963181148752,0,1,-0.4982135860894622,39.36051834538623,0
Muktsar,37.111111111111114,53.348956045185275,155.0,37.111111111111114,0.0,0.3343333333333333,0.2573333333333333,Punjab,1.3998268350048613,37.111111111111114,0,1,-0.3811451152604286,5.978723216478301,0
Mulugu,104.11111111111111,135.63963694698947,349.0,103.66666666666667,0.4444444444444444,0.211,0.2623333333333333,Telangana,1.2904405206373204,71.76923076923077,0,1,-0.37373807803129083,3.866624223946232,0
