district,cis_mean,adult_child_ratio,enrol_mean,enrol_std,enrol_max,child_enrol_mean,adult_enrol_mean,momentum,coverage_gap,update_lag,num_pincodes,enrol_per_day,state,enrol_volatility,child_proportion,zero_cis_flag,negative_momentum_flag,state_avg_cis,relative_to_state,high_risk,predicted_risk,risk_probability,risk_score,risk_category
Mahabubabad,0.18922222222222224,4.0792222222222225,167.0,219.67362153886387,541.0,166.88888888888889,0.1111111111111111,0.2563333333333333,-0.19844444444444445,1149.155,7.111111111111111,0.03132836844444445,Telangana,1.3075810805884753,0.9933862433862434,0,0,0.24095338217338216,-0.05173115995115993,1,1,0.9990310414853496,99.9,🔴 CRITICAL
N. T. R,0.12466666666666668,5.405555555555555,103.66666666666667,127.80747239500515,295.0,98.55555555555556,5.111111111111111,0.29644444444444445,-0.3071111111111111,3100.4203333333335,16.0,0.01969840988888889,Andhra Pradesh,1.2210905005892212,0.9416135881104034,0,0,0.21832202218585198,-0.0936553555191853,1,1,0.9992798620094868,99.9,🔴 CRITICAL
Palnadu,0.15433333333333332,4.263444444444445,95.55555555555556,117.61282998796423,284.0,92.77777777777777,2.7777777777777777,0.3091111111111111,-0.3038888888888889,2330.3722222222223,16.11111111111111,0.019740557333333335,Andhra Pradesh,1.2180845453298943,0.9608745684695051,0,0,0.21832202218585198,-0.06398868885251865,1,1,0.9992798620094868,99.9,🔴 CRITICAL
Shivamogga,0.23122222222222222,2.863555555555555,247.66666666666666,302.45412875343595,711.0,242.88888888888889,4.777777777777778,0.31033333333333335,0.7777777777777778,3692.9571111111113,22.77777777777778,0.026335035333333333,Karnataka,1.216303466836874,0.9767649687220733,0,0,0.3168469658119658,-0.08562474358974359,1,1,0.9977154582763338,99.8,🔴 CRITICAL
Fatehabad,0.27444444444444444,5.770333333333333,290.22222222222223,350.5559077300573,794.0,289.1111111111111,1.1111111111111112,0.31955555555555554,0.02477777777777778,7840.030333333333,5.222222222222222,0.06756704622222222,Haryana,1.2037402402024096,0.9927508584509728,0,0,0.3328552469135802,-0.05841080246913577,1,1,0.9977154582763339,99.8,🔴 CRITICAL
South 24 Pargana,0.1875,3.75,0.5,0.5773502691896257,1.0,0.5,0.0,0.25,-0.8967499999999999,4.75,0.5,0.015,West Bengal,0.38490017945975047,0.3333333333333333,0,0,0.4030857214185208,-0.21558572141852078,1,1,0.9983684580263621,99.8,🔴 CRITICAL
Raja Annamalai Puram,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Tamil Nadu,,0.0,1,0,0.23021099498327757,-0.23021099498327757,1,1,0.9981919241031805,99.8,🔴 CRITICAL
Tiswadi,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,-0.8889999999999999,2.0,0.0,0.0,Goa,0.0,0.0,1,0,0.16091111111111112,-0.16091111111111112,1,1,0.9981919241031805,99.8,🔴 CRITICAL
Ballari,0.27888888888888885,2.9134444444444445,309.0,394.83065990371114,1031.0,301.8888888888889,7.111111111111111,0.2838888888888889,0.4853333333333334,4330.151222222222,18.333333333333332,0.03325202611111111,Karnataka,1.2736472900119713,0.9738351254480287,0,0,0.3168469658119658,-0.037958076923076955,1,1,0.9977154582763338,99.8,🔴 CRITICAL
Poonch,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.75,2.0,0.0,0.0,Jammu and Kashmir,0.0,0.0,1,0,0.30199548631445183,-0.30199548631445183,1,1,0.9981919241031805,99.8,🔴 CRITICAL
Puri,0.2634444444444444,2.4923888888888888,207.27777777777777,395.9855620593725,1371.0,207.05555555555554,0.2222222222222222,0.11972222222222223,1.1597777777777778,2908.356111111111,11.833333333333334,0.026138371666666667,Odisha,1.901237694603549,0.9941317684715923,0,0,0.3008145225870375,-0.03737007814259308,1,1,0.997799365555586,99.8,🔴 CRITICAL
Near Uday nagar NIT garden,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Manipur,,0.0,1,0,0.15960000000000002,-0.15960000000000002,1,1,0.9981919241031805,99.8,🔴 CRITICAL
Near meera hospital,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Manipur,,0.0,1,0,0.15960000000000002,-0.15960000000000002,1,1,0.9981919241031805,99.8,🔴 CRITICAL
Nagarkurnool,0.17866666666666667,2.3075555555555556,151.22222222222223,208.0515427591068,578.0,151.0,0.2222222222222222,0.2541111111111111,0.023888888888888897,1175.156,9.11111111111111,0.026675164555555558,Telangana,1.3667619597313585,0.991970802919708,0,0,0.24095338217338216,-0.062286715506715495,1,1,0.9983227318379645,99.8,🔴 CRITICAL
