state,district,month,enrol_total,cis,anomaly_score,anomaly_type
Andhra Pradesh,Krishna,2025-03,0.0,0.0,-0.000153316408098,Data Quality (High Lag + Low Count)
Andhra Pradesh,Krishna,2025-04,0.0,0.0,-0.0004069256985509,Data Quality (High Lag + Low Count)
Andhra Pradesh,Kurnool,2025-03,0.0,0.0,-0.0851912132424652,Data Quality (High Lag + Low Count)
Andhra Pradesh,Kurnool,2025-04,0.0,0.0,-0.0887925882055579,Data Quality (High Lag + Low Count)
Andhra Pradesh,Kurnool,2025-05,0.0,0.0,-0.0732343999381772,Data Quality (High Lag + Low Count)
Andhra Pradesh,Kurnool,2025-06,0.0,0.0,-0.0454779407370461,Data Quality (High Lag + Low Count)
Uttar Pradesh,Kushinagar,2025-03,0.0,0.0,-0.1333547532337303,Data Quality (High Lag + Low Count)
Uttar Pradesh,Kushinagar,2025-07,0.0,0.0,-0.0621972381231881,Data Quality (High Lag + Low Count)
Maharashtra,Latur,2025-03,0.0,0.0,-0.0049363933319382,Data Quality (High Lag + Low Count)
Maharashtra,Latur,2025-04,294.0,0.996,-0.0027983940511487,Unclear (Needs Investigation)
Maharashtra,Latur,2025-05,0.0,0.0,-0.04693495670245,Data Quality (High Lag + Low Count)
Maharashtra,Latur,2025-06,545.0,0.998,-0.009923835556153,Unclear (Needs Investigation)
Maharashtra,Latur,2025-11,1445.0,0.551,-0.0160108979130469,Unclear (Needs Investigation)
Uttar Pradesh,Lucknow,2025-03,142.0,0.038,-0.0042308325211759,Unclear (Needs Investigation)
Uttar Pradesh,Lucknow,2025-09,6499.0,0.716,-0.0211106752332537,Unclear (Needs Investigation)
Uttar Pradesh,Lucknow,2025-12,3147.0,0.483,-0.0138738236152458,Unclear (Needs Investigation)
Bihar,Madhubani,2025-03,330.0,0.076,-0.0436337108110983,Unclear (Needs Investigation)
Bihar,Madhubani,2025-04,933.0,0.999,-0.017777856062724,Unclear (Needs Investigation)
Bihar,Madhubani,2025-12,3735.0,0.529,-0.0039820958625031,Unclear (Needs Investigation)
Tamil Nadu,Madurai,2025-03,0.0,0.0,-0.0341763416487784,Data Quality (High Lag + Low Count)
Uttar Pradesh,Maharajganj,2025-03,282.0,0.082,-0.0160046622871388,Unclear (Needs Investigation)
Chhattisgarh,Mahasamund,2025-06,0.0,0.0,-0.1736428627076005,Data Quality (High Lag + Low Count)
Chhattisgarh,Mahasamund,2025-07,0.0,0.0,-0.0054961765118347,Data Quality (High Lag + Low Count)
Kerala,Malappuram,2025-05,266.0,0.996,-0.0016723940679088,Unclear (Needs Investigation)
West Bengal,Malda,2025-03,0.0,0.0,-0.0122815794809201,Data Quality (High Lag + Low Count)
Uttar Pradesh,Meerut,2025-03,0.0,0.0,-0.0966585448074039,Data Quality (High Lag + Low Count)
Uttar Pradesh,Meerut,2025-07,4184.0,0.798,-0.0100069680415012,Unclear (Needs Investigation)
Haryana,Mewat,2025-07,0.0,0.0,-0.0010548979533537,Data Quality (High Lag + Low Count)
Uttar Pradesh,Moradabad,2025-03,0.0,0.0,-0.046362577353187,Data Quality (High Lag + Low Count)
Uttar Pradesh,Moradabad,2025-04,2044.0,1.0,-0.0003191663946121,Unclear (Needs Investigation)
Uttar Pradesh,Moradabad,2025-07,4051.0,0.742,-0.0481110813530077,Unclear (Needs Investigation)
Madhya Pradesh,Morena,2025-03,0.0,0.0,-0.0947007069310753,Data Quality (High Lag + Low Count)
Madhya Pradesh,Morena,2025-06,2269.0,0.74,-0.0122361760914405,Unclear (Needs Investigation)
Madhya Pradesh,Morena,2025-07,6073.0,0.609,-0.078288281288233,Policy Event (High Enrollment Spike)
Maharashtra,Mumbai,2025-03,0.0,0.0,-0.0518139637709369,Data Quality (High Lag + Low Count)
Maharashtra,Mumbai,2025-05,0.0,0.0,-0.0102908215452612,Data Quality (High Lag + Low Count)
Maharashtra,Mumbai,2025-06,0.0,0.0,-0.0102908215452612,Data Quality (High Lag + Low Count)
Maharashtra,Mumbai,2025-07,931.0,0.999,-0.0214465165596476,Unclear (Needs Investigation)
Maharashtra,Mumbai,2025-09,4265.0,0.756,-0.0024059263482945,Policy Event (High Enrollment Spike)
